,ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
45814,0, 2019-07-13 00:30:00 ,2019,M,7/13/2019,0:30:09,0,940,600,0,0,0,0,-9,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436, 2019-07-13 00:30:09 ,wind_direction,YF,0,Sensor not on
58905,0, 2019-07-22 02:41:00 ,2019,M,7/22/2019,2:41:12,0,440,600,0,0,0,2.8,-8,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072219.csv,1437, 2019-07-22 02:41:12 ,wind_direction,YF,0,Inevitable negative value
71564,0, 2019-07-30 21:40:00 ,2019,M,7/30/2019,21:40:36,0,430,600,0,0,0,1.7,-8,8,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_073019.csv,990, 2019-07-30 21:40:36 ,wind_direction,YF,0,Inevitable negative value
72008,0, 2019-07-31 05:04:00 ,2019,M,7/31/2019,5:04:36,0,474,600,0,0,0,1.2,-14,8,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_073119.csv,1440, 2019-07-31 05:04:36 ,wind_direction,YF,0,Inevitable negative value
72037,0, 2019-07-31 05:33:00 ,2019,M,7/31/2019,5:33:36,0,452,600,0,0,0,1.2,-17,8,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_073119.csv,1440, 2019-07-31 05:33:36 ,wind_direction,YF,0,Inevitable negative value
86298,0, 2019-08-10 03:14:00 ,2019,M,8/10/2019,3:14:57,0,652,600,0,0,0,0.7,-9,7,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_081019.csv,1439, 2019-08-10 03:14:57 ,wind_direction,YF,0,Inevitable negative value
91148,0, 2019-08-13 12:04:00 ,2019,M,8/13/2019,12:04:18,1.71,564,600,0,0,0,1.5,-10,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_081319.csv,1024, 2019-08-13 12:04:18 ,wind_direction,YF,0,Inevitable negative value
93799,0, 2019-08-15 08:15:00 ,2019,M,8/15/2019,8:15:02,2.07,566,600,0,0,0,3,-12,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_081519.csv,1009, 2019-08-15 08:15:02 ,wind_direction,YF,0,Inevitable negative value
118814,0, 2019-09-01 17:10:00 ,2019,M,9/1/2019,17:10:49,0,385,600,0,0,0,1.6,-31,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090119.csv,806, 2019-09-01 17:10:49 ,wind_direction,YF,0,Inevitable negative value
119687,0, 2019-09-02 07:43:00 ,2019,M,9/2/2019,7:43:49,0,395,600,0,0,0,1.2,-31,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090219.csv,1439, 2019-09-02 07:43:49 ,wind_direction,YF,0,Inevitable negative value
119780,0, 2019-09-02 09:16:00 ,2019,M,9/2/2019,9:16:50,1.6,583,600,0,0,0,1.4,-21,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090219.csv,1439, 2019-09-02 09:16:50 ,wind_direction,YF,0,Inevitable negative value
125903,0, 2019-09-06 15:19:00 ,2019,M,9/6/2019,15:19:45,3.69,608,600,0,0,0,3.9,-8,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090619.csv,1439, 2019-09-06 15:19:45 ,wind_direction,YF,0,Inevitable negative value
126231,0, 2019-09-06 20:47:00 ,2019,M,9/6/2019,20:47:45,0,406,600,0,0,0,2.9,-10,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090619.csv,1439, 2019-09-06 20:47:45 ,wind_direction,YF,0,Inevitable negative value
126275,0, 2019-09-06 21:31:00 ,2019,M,9/6/2019,21:31:45,0,409,600,0,0,0,1.7,-19,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090619.csv,1439, 2019-09-06 21:31:45 ,wind_direction,YF,0,Inevitable negative value
126305,0, 2019-09-06 22:01:00 ,2019,M,9/6/2019,22:01:45,0,414,600,0,0,0,1.7,-25,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090619.csv,1439, 2019-09-06 22:01:45 ,wind_direction,YF,0,Inevitable negative value
128202,0, 2019-09-08 05:38:00 ,2019,M,9/8/2019,5:38:46,0,456,600,0,0,0,2.7,-13,7,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090819.csv,1439, 2019-09-08 05:38:46 ,wind_direction,YF,0,Inevitable negative value
128398,0, 2019-09-08 08:54:00 ,2019,M,9/8/2019,8:54:46,2.14,688,600,0,0,0,0.7,-20,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_090819.csv,1439, 2019-09-08 08:54:46 ,wind_direction,YF,0,Inevitable negative value
198458,1, 2019-07-13 00:33:00 ,2019,M,7/13/2019,0:33:26,0,988,600,0,0,0,0,-12,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_071319.csv,1433, 2019-07-13 00:33:26 ,wind_direction,YF,0,Sensor not on
210925,1, 2019-07-21 16:20:00 ,2019,M,7/21/2019,16:20:20,0,384,600,0,0,0,4.5,-22,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072119.csv,1439, 2019-07-21 16:20:20 ,wind_direction,YF,0,Inevitable negative value
211467,1, 2019-07-22 01:22:00 ,2019,M,7/22/2019,1:22:20,0,439,600,0,0,0,1.8,-17,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 01:22:20 ,wind_direction,YF,0,Inevitable negative value
211510,1, 2019-07-22 02:05:00 ,2019,M,7/22/2019,2:05:20,0,447,600,0,0,0,2.8,-8,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 02:05:20 ,wind_direction,YF,0,Inevitable negative value
211521,1, 2019-07-22 02:16:00 ,2019,M,7/22/2019,2:16:20,0,446,600,0,0,0,2.3,-12,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 02:16:20 ,wind_direction,YF,0,Inevitable negative value
211529,1, 2019-07-22 02:24:00 ,2019,M,7/22/2019,2:24:20,0,447,600,0,0,0,3.2,-14,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 02:24:20 ,wind_direction,YF,0,Inevitable negative value
211533,1, 2019-07-22 02:28:00 ,2019,M,7/22/2019,2:28:20,0,445,600,0,0,0,3.2,-23,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 02:28:20 ,wind_direction,YF,0,Inevitable negative value
211574,1, 2019-07-22 03:09:00 ,2019,M,7/22/2019,3:09:20,0,444,600,0,0,0,3.4,-9,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 03:09:20 ,wind_direction,YF,0,Inevitable negative value
211923,1, 2019-07-22 08:58:00 ,2019,M,7/22/2019,8:58:21,1.82,583,600,0,0,0,4.4,-14,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 08:58:21 ,wind_direction,YF,0,Inevitable negative value
212388,1, 2019-07-22 16:43:00 ,2019,M,7/22/2019,16:43:21,3.04,600,600,0,0,0,4.7,-9,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 16:43:21 ,wind_direction,YF,0,Inevitable negative value
212716,1, 2019-07-22 22:11:00 ,2019,M,7/22/2019,22:11:21,0,468,600,0,0,0,0.8,-12,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 22:11:21 ,wind_direction,YF,0,Inevitable negative value
212786,1, 2019-07-22 23:21:00 ,2019,M,7/22/2019,23:21:21,0,592,600,0,0,0,0,-11,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 23:21:21 ,wind_direction,YF,0,Inevitable negative value
213988,1, 2019-07-23 19:23:00 ,2019,M,7/23/2019,19:23:21,0,418,600,0,0,0,2.3,-8,8,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072319.csv,1435, 2019-07-23 19:23:21 ,wind_direction,YF,0,Inevitable negative value
217156,1, 2019-07-26 00:11:00 ,2019,M,7/26/2019,0:11:35,0,814,600,0,0,0,0,-8,5,0,1.82,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072619.csv,1419, 2019-07-26 00:11:35 ,wind_direction,YF,0,Sensor not on
217268,1, 2019-07-26 02:03:00 ,2019,M,7/26/2019,2:03:35,0,949,600,0,0,0,0,-8,5,0,1.81,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072619.csv,1419, 2019-07-26 02:03:35 ,wind_direction,YF,0,Sensor not on
