,reporting_type,ring_id,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,Range_flag,evaluator,replacement_value,explanation
723224,M,0,7/3/2019,15:03:36,0,-81586,600,0,0,0,6.1,227,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_070319.csv,879,layer_1_concentration,,,
706229,M,0,6/21/2019,2:41:44,0,1014,600,0,0,0,0.4,47,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_062119.csv,1439,layer_1_concentration,,,
723493,M,0,7/5/2019,9:42:18,3.48,1036,600,0,0,0,1.5,236,7,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_070519.csv,194,layer_1_concentration,,,
729941,M,0,7/13/2019,0:52:09,0,1021,600,0,0,0,0,220,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729942,M,0,7/13/2019,0:53:09,0,1037,600,0,0,0,0,226,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729943,M,0,7/13/2019,0:54:09,0,1047,600,0,0,0,0,230,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729944,M,0,7/13/2019,0:55:09,0,1053,600,0,0,0,0,245,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729945,M,0,7/13/2019,0:56:09,0,1056,600,0,0,0,0,263,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729946,M,0,7/13/2019,0:57:09,0,1052,600,0,0,0,0,278,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729947,M,0,7/13/2019,0:58:09,0,1070,600,0,0,0,0,288,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729948,M,0,7/13/2019,0:59:09,0,1078,600,0,0,0,0,293,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729949,M,0,7/13/2019,1:00:09,0,1083,600,0,0,0,0,295,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729950,M,0,7/13/2019,1:01:09,0,1080,600,0,0,0,0,302,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729951,M,0,7/13/2019,1:02:09,0,1050,600,0,0,0,0,313,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729952,M,0,7/13/2019,1:03:09,0,1021,600,0,0,0,0,313,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729953,M,0,7/13/2019,1:04:09,0,1024,600,0,0,0,0,304,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729954,M,0,7/13/2019,1:05:09,0,1018,600,0,0,0,0,300,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729955,M,0,7/13/2019,1:06:09,0,1050,600,0,0,0,0,292,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729956,M,0,7/13/2019,1:07:09,0,1063,600,0,0,0,0,322,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729957,M,0,7/13/2019,1:08:09,0,1091,600,0,0,0,0,328,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729958,M,0,7/13/2019,1:09:09,0,1088,600,0,0,0,0,328,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729959,M,0,7/13/2019,1:10:09,0,1071,600,0,0,0,0,289,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729960,M,0,7/13/2019,1:11:09,0,1036,600,0,0,0,0,282,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729961,M,0,7/13/2019,1:12:09,0,1052,600,0,0,0,0,263,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729962,M,0,7/13/2019,1:13:09,0,1079,600,0,0,0,0,280,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729963,M,0,7/13/2019,1:14:09,0,1073,600,0,0,0,0,284,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729964,M,0,7/13/2019,1:15:09,0,1073,600,0,0,0,0,299,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729965,M,0,7/13/2019,1:16:09,0,1089,600,0,0,0,0.1,305,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729966,M,0,7/13/2019,1:17:09,0,1107,600,0,0,0,0.2,304,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729967,M,0,7/13/2019,1:18:09,0,1103,600,0,0,0,0,292,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729968,M,0,7/13/2019,1:19:09,0,1095,600,0,0,0,0,274,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729969,M,0,7/13/2019,1:20:09,0,1095,600,0,0,0,0,276,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729970,M,0,7/13/2019,1:21:09,0,1088,600,0,0,0,0,286,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729971,M,0,7/13/2019,1:22:09,0,1080,600,0,0,0,0.3,290,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
729972,M,0,7/13/2019,1:23:09,0,1063,600,0,0,0,0.2,285,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,layer_1_concentration,,,
